0	2213.3333333333335	29	2213.3333333333335
1	1968.0	34	1968.0
2	1680.0	26	1680.0
0	1344.0	23	1344.0
1	1216.0	30	1216.0
2	1088.0	27	1088.0
3	1002.6666666666666	39	1002.6666666666666
4	912.0	34	912.0
5	864.0	27	864.0
6	802.6666666666666	34	802.6666666666666
7	774.6666666666666	33	774.6666666666666
8	726.6666666666666	37	726.6666666666666
9	705.3333333333334	31	705.3333333333334
10	656.0	37	656.0
11	613.3333333333334	38	613.3333333333334
12	570.6666666666666	34	570.6666666666666
0	1906.6666666666667	29	1906.6666666666667
1	1565.3333333333333	28	1565.3333333333333
2	1381.3333333333333	35	1381.3333333333333
